Date,Airline,Flight,From,To,Dep Terminal,Dep Gate,Arr Terminal,Arr Gate,Canceled,Diverted To,Gate Departure (Scheduled),Gate Departure (Actual),Take off (Scheduled),Take off (Actual),Landing (Scheduled),Landing (Actual),Gate Arrival (Scheduled),Gate Arrival (Actual),Aircraft Type Name,Tail Number,PNR,Seat,Seat Type,Cabin Class,Flight Reason,Notes,Flight Flighty ID,Airline Flighty ID,Departure Airport Flighty ID,Arrival Airport Flighty ID,Diverted To Airport Flighty ID,Aircraft Type Flighty ID
2008-06-12,SWA,3055,ABQ,DEN,,A5,,C33,false,,2008-06-12T09:35,,,,,,2008-06-12T10:55,,Boeing 737-500,,,,,,,,8e3d1174-ccf9-485e-8df8-073b34a4dfe0,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,d00b5728-0678-4689-b660-fe9e583203dc,,0dbe6bac-b2f4-4397-a84d-b7fed6cbf6d8
2008-06-12,SWA,308,DEN,IND,,C43,,C8,false,,2008-06-12T11:20,,,,,,2008-06-12T15:50,,Boeing 737-700,,,,,,,,9b587c68-d75a-456c-84bb-d831d9fd789e,be4c4286-2c02-4dca-86d4-56e19aa348f7,d00b5728-0678-4689-b660-fe9e583203dc,8259a771-7653-4c8a-8572-55f962097695,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2008-06-18,SWA,1167,MCI,ABQ,B,35,,A9,false,,2008-06-18T18:15,,,,,,2008-06-18T19:15,,Boeing 737-300,,,,,,,,9e7e9020-b448-4ff9-83a2-483ef20a9c30,be4c4286-2c02-4dca-86d4-56e19aa348f7,bd6062aa-a329-43e4-b684-82b0e7579c91,7b925806-8601-400f-bd02-c38802c531b8,,0da1b92a-3c44-446a-8b2d-7ce519400cef
2010-06-22,SWA,245,ABQ,HOU,Main,A4,,47,false,,2010-06-22T06:10,,,,,,2010-06-22T09:10,,Boeing 737-500,,,,,,,,c87c0df4-64e2-49ef-98a2-17a371bc353e,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,44f745ca-154b-4d48-ba97-c5d9ad5d3ff7,,0dbe6bac-b2f4-4397-a84d-b7fed6cbf6d8
2010-06-29,SWA,477,HOU,ABQ,,44,Main,A8,false,,2010-06-29T16:20,,,,,,2010-06-29T17:25,,Boeing 737-700,,,,,,,,66387b20-22b7-418c-8586-fbf65f964cb5,be4c4286-2c02-4dca-86d4-56e19aa348f7,44f745ca-154b-4d48-ba97-c5d9ad5d3ff7,7b925806-8601-400f-bd02-c38802c531b8,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2011-06-04,SWA,673,ABQ,MCI,Main,A7,B,40,false,,2011-06-04T11:25,,,,,,2011-06-04T14:20,,Boeing 737-300,,,,,,,,57f490ec-2bc9-473d-b2cc-964c5d960123,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,bd6062aa-a329-43e4-b684-82b0e7579c91,,0da1b92a-3c44-446a-8b2d-7ce519400cef
2011-06-04,SWA,1354,MCI,TPA,B,43,,C33,false,,2011-06-04T14:45,,,,,,2011-06-04T18:25,,Boeing 737-500,,,,,,,,fc5caf14-861c-471a-8147-ca0aed48f1c2,be4c4286-2c02-4dca-86d4-56e19aa348f7,bd6062aa-a329-43e4-b684-82b0e7579c91,af50854a-e728-4e40-885b-d8b73b69f6e8,,0dbe6bac-b2f4-4397-a84d-b7fed6cbf6d8
2011-06-13,SWA,332,TPA,HOU,,C36,,23,false,,2011-06-13T17:50,,,,,,2011-06-13T19:05,,Boeing 737-700,,,,,,,,f01876f4-cfa1-4ab0-a899-d3f66a098984,be4c4286-2c02-4dca-86d4-56e19aa348f7,af50854a-e728-4e40-885b-d8b73b69f6e8,44f745ca-154b-4d48-ba97-c5d9ad5d3ff7,,886c3a0c-c7a3-4205-982f-35cddc765ae1
2013-07-30,SWA,540,ABQ,BWI,Main,A11,Main,B2,false,,2013-07-30T13:15,2013-07-30T13:19,,,,,2013-07-30T19:00,2013-07-30T18:47,,,,,,,,,f2c28c8b-6e95-4d6f-aad9-01c31e26508d,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,4923b37c-381e-48e6-ba91-7c75d4151f64,,
2013-07-30,SWA,225,BWI,GSP,Main,A7,,A3,false,,2013-07-30T20:50,2013-07-30T20:51,,,,,2013-07-30T22:15,,,,,,,,,,6f7feecd-6185-41f7-b74b-10156f29bed4,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,fb3ebadd-f223-4770-916f-96af2217f02f,,
2013-08-04,SWA,1865,GSP,BWI,,A4,Main,A8,false,,2013-08-04T07:35,2013-08-04T07:37,,,,,2013-08-04T09:00,2013-08-04T09:13,,,,,,,,,e143e252-12d6-4df0-bb55-01a63606441b,be4c4286-2c02-4dca-86d4-56e19aa348f7,fb3ebadd-f223-4770-916f-96af2217f02f,4923b37c-381e-48e6-ba91-7c75d4151f64,,
2013-08-04,SWA,403,BWI,ABQ,Main,A9,Main,A11,false,,2013-08-04T10:10,2013-08-04T10:16,,,,,2013-08-04T12:15,2013-08-04T12:26,,,,,,,,,ef921a09-62bc-4cb8-a688-911e4048ef6e,be4c4286-2c02-4dca-86d4-56e19aa348f7,4923b37c-381e-48e6-ba91-7c75d4151f64,7b925806-8601-400f-bd02-c38802c531b8,,
2013-11-08,SWA,101,DEN,ABQ,Main,C46,Main,A11,false,,2013-11-08T20:40,2013-11-08T21:29,,,,,2013-11-08T21:55,2013-11-08T22:37,,,,,,,,,fd347824-54e9-466a-8fa8-002da70c8fce,be4c4286-2c02-4dca-86d4-56e19aa348f7,d00b5728-0678-4689-b660-fe9e583203dc,7b925806-8601-400f-bd02-c38802c531b8,,
2013-11-11,SWA,444,ABQ,LAS,Main,A8,1,C24,false,,2013-11-11T18:00,2013-11-11T17:59,,,,,2013-11-11T18:35,2013-11-11T18:29,,,,,,,,,9c8dafa9-4d69-4828-ad5a-50c54594624f,be4c4286-2c02-4dca-86d4-56e19aa348f7,7b925806-8601-400f-bd02-c38802c531b8,13ec7b81-ab66-4c6c-b632-92f18740c05b,,
